date,value
1980-12-01,99.25049
1981-01-01,99.66512
1981-02-01,103.0704
1981-03-01,101.0277
1981-04-01,103.273
1981-05-01,102.9977
1981-06-01,103.4073
1981-07-01,104.776
1981-08-01,105.8496
1981-09-01,107.8769
1981-10-01,99.51675
1981-11-01,96.89488
1981-12-01,95.62305
1982-01-01,95.8563
1982-02-01,96.28988
1982-03-01,97.6752
1982-04-01,96.60805
1982-05-01,98.65495
1982-06-01,101.643
1982-07-01,101.8368
1982-08-01,102.7495
1982-09-01,102.4094
1982-10-01,101.1859
1982-11-01,101.2182
1982-12-01,104.7904
1983-01-01,107.9996
1983-02-01,110.3821
1983-03-01,113.6305
1983-04-01,115.0265
1983-05-01,114.6725
1983-06-01,120.2354
1983-07-01,127.9394
1983-08-01,134.6898
1983-09-01,146.3491
1983-10-01,156.7843
1983-11-01,161.8956
1983-12-01,164.012
1984-01-01,166.5098
1984-02-01,170.5685
1984-03-01,174.5855
1984-04-01,182.2212
1984-05-01,189.0254
1984-06-01,189.5511
1984-07-01,188.6205
1984-08-01,189.2501
1984-09-01,193.0459
1984-10-01,197.2737
1984-11-01,205.9721
1984-12-01,215.2633
1985-01-01,221.2723
1985-02-01,225.2758
1985-03-01,228.9297
1985-04-01,224.883
1985-05-01,219.3584
1985-06-01,214.7565
1985-07-01,216.4442
1985-08-01,224.2587
1985-09-01,222.4287
1985-10-01,222.952
1985-11-01,233.0228
1985-12-01,242.2298
1986-01-01,250.2316
1986-02-01,256.0791
1986-03-01,238.6501
1986-04-01,215.4402
1986-05-01,198.3824
1986-06-01,178.5209
1986-07-01,156.8006
1986-08-01,137.328
1986-09-01,117.2473
1986-10-01,100.1346
1986-11-01,85.17251999999999
1986-12-01,79.6645
1987-01-01,77.8363
1987-02-01,77.7112
1987-03-01,97.39001
1987-04-01,133.2705
1987-05-01,179.4011
1987-06-01,230.2735
1987-07-01,254.6266
1987-08-01,259.1376
1987-09-01,280.5538
1987-10-01,315.3478
1987-11-01,353.2651
1987-12-01,363.4115
1988-01-01,386.6658
1988-02-01,399.8998
1988-03-01,405.1776
1988-04-01,405.985
1988-05-01,389.1881
1988-06-01,398.5401
1988-07-01,456.5152
1988-08-01,545.2409
1988-09-01,662.9906
1988-10-01,761.7760000000001
1988-11-01,858.0867
1988-12-01,980.2135
1989-01-01,1149.216
1989-02-01,1160.878
1989-03-01,1045.292
