date,value
1960-01-01,2.12766
1960-02-01,3.39367
1960-03-01,6.75676
1960-04-01,8.86918
1960-05-01,0.66079
1960-06-01,-3.26087
1960-07-01,-1.10132
1960-08-01,-0.8658
1960-09-01,-0.63291
1960-10-01,4.24107
1960-11-01,0.89485
1960-12-01,-1.16822
1961-01-01,-3.7037
1961-02-01,-8.3151
1961-03-01,-8.86076
1961-04-01,-13.03462
1961-05-01,-4.814
1961-06-01,-1.57303
1961-07-01,-1.78174
1961-08-01,-2.62009
1961-09-01,-4.4586
1961-10-01,-2.35546
1961-11-01,3.54767
1961-12-01,12.76596
1962-01-01,14.18269
1962-02-01,13.12649
1962-03-01,11.57407
1962-04-01,13.34895
1962-05-01,14.02299
1962-06-01,12.10046
1962-07-01,11.56463
1962-08-01,9.86547
1962-09-01,12.22222
1962-10-01,7.45614
1962-11-01,11.56317
1962-12-01,12.15933
1963-01-01,11.78947
1963-02-01,10.54852
1963-03-01,8.50622
1963-04-01,9.91736
1963-05-01,7.8629
1963-06-01,12.01629
1963-07-01,12.80488
1963-08-01,10.40816
1963-09-01,8.11881
1963-10-01,10.61224
1963-11-01,6.71785
1963-12-01,7.28972
1964-01-01,9.03955
1964-02-01,11.45038
1964-03-01,10.13384
1964-04-01,9.3985
1964-05-01,11.58879
1964-06-01,10.18182
1964-07-01,10.99099
1964-08-01,14.78743
1964-09-01,10.43956
1964-10-01,12.91513
1964-11-01,5.93525
1964-12-01,1.0453
1965-01-01,5.35406
1965-02-01,11.9863
1965-03-01,18.75
1965-04-01,15.63574
1965-05-01,9.04523
1965-06-01,2.31023
1965-07-01,3.08442
1965-08-01,6.28019
1965-09-01,17.08126
1965-10-01,13.56209
1965-11-01,17.31749
1965-12-01,18.62069
1966-01-01,15.08197
1966-02-01,10.55046
1966-03-01,8.77193
1966-04-01,7.7266
1966-05-01,5.52995
1966-06-01,9.67742
1966-07-01,9.6063
1966-08-01,9.54545
1966-09-01,6.37394
1966-10-01,5.61151
1966-11-01,4.63097
1966-12-01,4.94186
1967-01-01,3.27635
1967-02-01,-3.3195
1967-03-01,-4.56989
1967-04-01,2.48276
1967-05-01,7.7147
1967-06-01,10.58824
1967-07-01,6.89655
1967-08-01,1.79806
1967-09-01,1.1984
1967-10-01,0.95368
1967-11-01,3.87275
1967-12-01,7.61773
1968-01-01,9.93103
1968-02-01,13.73391
1968-03-01,17.46479
1968-04-01,9.55585
1968-05-01,13.51351
1968-06-01,11.43617
1968-07-01,16.80108
1968-08-01,19.02174
1968-09-01,15.92105
1968-10-01,18.89339
1968-11-01,16.51132
1968-12-01,13.12741
1969-01-01,13.04893
1969-02-01,14.21384
1969-03-01,6.83453
1969-04-01,11.05651
1969-05-01,7.7381
1969-06-01,7.99523
1969-07-01,1.95627
1969-08-01,3.53881
1969-09-01,5.10783
1969-10-01,3.74574
1969-11-01,3.65714
1969-12-01,2.84414
1970-01-01,-0.8879
1970-02-01,0.22026
1970-03-01,-0.6734
1970-04-01,-0.44248
1970-05-01,0.77348
1970-06-01,1.54696
1970-07-01,3.16027
1970-08-01,1.76406
1970-09-01,-0.32397
1970-10-01,-1.85996
1970-11-01,-6.06395
1970-12-01,-3.65044
1971-01-01,9.07055
1971-02-01,6.81319
1971-03-01,12.54237
1971-04-01,11.44444
1971-05-01,9.21053
1971-06-01,12.07835
1971-07-01,10.61269
1971-08-01,10.72589
1971-09-01,15.92633
1971-10-01,19.50948
1971-11-01,25.93897
1971-12-01,23.30654
1972-01-01,13.44969
1972-02-01,12.44856
1972-03-01,12.751
1972-04-01,12.56231
1972-05-01,14.95984
1972-06-01,11.45631
1972-07-01,15.33136
1972-08-01,15.75342
1972-09-01,10.18692
1972-10-01,13.80597
1972-11-01,15.00466
1972-12-01,16.20112
1973-01-01,17.01357
1973-02-01,20.67704
1973-03-01,19.59038
1973-04-01,17.3605
1973-05-01,16.41921
1973-06-01,11.58537
1973-07-01,11.57804
1973-08-01,8.70668
1973-09-01,13.40119
1973-10-01,5.98361
1973-11-01,4.61912
1973-12-01,1.20192
1974-01-01,-2.01083
1974-02-01,-5.38287
1974-03-01,-4.31869
1974-04-01,-2.64151
1974-05-01,-0.97524
1974-06-01,2.10773
1974-07-01,2.53651
1974-08-01,9.56454
1974-09-01,0.74794
1974-10-01,1.31477
1974-11-01,-2.866
1974-12-01,-1.0293
1975-01-01,2.20994
1975-02-01,8.01282
1975-03-01,1.94553
1975-04-01,2.32558
1975-05-01,4.62121
1975-06-01,7.03364
1975-07-01,8.69565
