date,value
1960-01-01,3.59712
1960-02-01,2.39234
1960-03-01,2.42756
1960-04-01,6.76752
1960-05-01,1.79688
1960-06-01,2.8147
1960-07-01,3.84918
1960-08-01,2.73651
1960-09-01,1.31376
1960-10-01,2.15716
1960-11-01,3.17829
1960-12-01,1.38782
1961-01-01,2.08333
1961-02-01,3.8162
1961-03-01,2.9052
1961-04-01,-0.14914
1961-05-01,3.06984
1961-06-01,2.28137
1961-07-01,1.28593
1961-08-01,2.43531
1961-09-01,3.20366
1961-10-01,2.0362
1961-11-01,2.40421
1961-12-01,4.10646
1962-01-01,3.7037
1962-02-01,3.07577
1962-03-01,3.19465
1962-04-01,3.80881
1962-05-01,3.87193
1962-06-01,2.45353
1962-07-01,3.21135
1962-08-01,3.41753
1962-09-01,5.32151
1962-10-01,4.21286
1962-11-01,3.96185
1962-12-01,3.57925
1963-01-01,4.08163
1963-02-01,3.27511
1963-03-01,2.73578
1963-04-01,2.23022
1963-05-01,2.07885
1963-06-01,4.42671
1963-07-01,4.70333
1963-08-01,5.24425
1963-09-01,1.26316
1963-10-01,2.12766
1963-11-01,2.32886
1963-12-01,3.59661
1964-01-01,3.08123
1964-02-01,4.93305
1964-03-01,4.97547
1964-04-01,5.13723
1964-05-01,6.95225
1964-06-01,6.11536
1964-07-01,6.63442
1964-08-01,6.14334
1964-09-01,7.27651
1964-10-01,8.19444
1964-11-01,5.93103
1964-12-01,7.48809
1965-01-01,6.86141
1965-02-01,6.78308
1965-03-01,4.80641
1965-04-01,7.09505
1965-05-01,5.90939
1965-06-01,5.43549
1965-07-01,6.15684
1965-08-01,5.08039
1965-09-01,6.58915
1965-10-01,9.49936
1965-11-01,10.54688
1965-12-01,8.42305
1966-01-01,9.66306
1966-02-01,9.62264
1966-03-01,11.71975
1966-04-01,11.0625
1966-05-01,9.23745
1966-06-01,10.49689
1966-07-01,9.70696
1966-08-01,9.60832
1966-09-01,9.39394
1966-10-01,5.50996
1966-11-01,6.41932
1966-12-01,5.43224
1967-01-01,5.21739
1967-02-01,4.81928
1967-03-01,4.27594
1967-04-01,3.3202
1967-05-01,4.19977
1967-06-01,3.93479
1967-07-01,2.22593
1967-08-01,3.74093
1967-09-01,4.04432
1967-10-01,2.83333
1967-11-01,3.92916
1967-12-01,5.65097
1968-01-01,5.39945
1968-02-01,5.63766
1968-03-01,7.38108
1968-04-01,6.64488
1968-05-01,7.46187
1968-06-01,8.32883
1968-07-01,10.28851
1968-08-01,9.63402
1968-09-01,7.66773
1968-10-01,9.94057
1968-11-01,10.22364
1968-12-01,7.2365
1969-01-01,8.36383
1969-02-01,8.4456
1969-03-01,6.87373
1969-04-01,7.66088
1969-05-01,8.26153
1969-06-01,5.99101
1969-07-01,5.923
1969-08-01,6.67649
1969-09-01,6.82493
1969-10-01,7.71499
1969-11-01,5.94203
1969-12-01,7.92176
1970-01-01,8.29715
1970-02-01,7.02341
1970-03-01,7.1939
1970-04-01,6.59393
1970-05-01,6.36704
1970-06-01,7.30099
1970-07-01,6.38397
1970-08-01,5.43028
1970-09-01,7.26852
1970-10-01,6.06752
1970-11-01,6.47515
1970-12-01,7.56683
1971-01-01,5.25612
1971-02-01,5.58036
1971-03-01,4.26667
1971-04-01,5.96351
1971-05-01,4.66549
1971-06-01,5.61896
1971-07-01,4.73062
1971-08-01,4.88869
1971-09-01,4.35909
1971-10-01,3.74194
1971-11-01,4.49679
1971-12-01,3.45409
1972-01-01,2.92002
1972-02-01,4.27061
1972-03-01,7.1185
1972-04-01,5.92188
1972-05-01,7.40118
1972-06-01,6.10973
1972-07-01,7.90464
