date,value
1960-01-01,2.52525
1960-02-01,4.53333
1960-03-01,-4.10959
1960-04-01,-21.5
1960-05-01,2.09974
1960-06-01,2.87958
1960-07-01,1.55039
1960-08-01,11.81556
1960-09-01,19.3038
1960-10-01,9.67742
1960-11-01,0.81522
1960-12-01,-2.9484
1961-01-01,4.18719
1961-02-01,8.92857
1961-03-01,14.85714
1961-04-01,29.93631
1961-05-01,7.71208
1961-06-01,14.75827
1961-07-01,20.86514
1961-08-01,19.3299
1961-09-01,18.83289
1961-10-01,25.13369
1961-11-01,26.95418
1961-12-01,19.24051
1962-01-01,8.98345
1962-02-01,12.88056
1962-03-01,19.40299
1962-04-01,19.11765
1962-05-01,9.7852
1962-06-01,5.9867
1962-07-01,1.68421
1962-08-01,3.02376
1962-09-01,-1.78571
1962-10-01,2.13675
1962-11-01,-6.58174
1962-12-01,-7.00637
1963-01-01,1.95228
1963-02-01,-4.77178
1963-03-01,-5.0
1963-04-01,-5.34979
1963-05-01,3.04348
1963-06-01,-3.9749
1963-07-01,-8.07453
1963-08-01,-6.07966
1963-09-01,10.68182
1963-10-01,7.74059
1963-11-01,12.5
1963-12-01,10.73059
1964-01-01,3.82979
1964-02-01,3.48584
1964-03-01,24.7807
1964-04-01,27.3913
1964-05-01,17.08861
1964-06-01,19.17211
1964-07-01,21.17117
1964-08-01,19.19643
1964-09-01,17.24846
1964-10-01,5.24272
1964-11-01,23.43434
1964-12-01,27.42268
1965-01-01,22.7459
1965-02-01,12.0
1965-03-01,-5.9754
1965-04-01,-13.31058
1965-05-01,2.34234
1965-06-01,12.06581
1965-07-01,13.56877
1965-08-01,12.92135
1965-09-01,16.28722
1965-10-01,6.08856
1965-11-01,0.491
1965-12-01,1.77994
1966-01-01,0.83472
1966-02-01,12.21805
1966-03-01,8.97196
1966-04-01,10.23622
1966-05-01,7.92254
1966-06-01,1.95759
1966-07-01,-1.30933
1966-08-01,3.9801
1966-09-01,-7.07831
1966-10-01,14.43478
1966-11-01,9.77199
1966-12-01,5.24642
1967-01-01,15.23179
1967-02-01,21.60804
1967-03-01,27.61578
1967-04-01,23.57143
1967-05-01,15.00816
1967-06-01,12.0
1967-07-01,24.04643
1967-08-01,20.57416
1967-09-01,15.88331
1967-10-01,17.78116
1967-11-01,15.57864
1967-12-01,9.06344
1968-01-01,4.02299
1968-02-01,5.50964
1968-03-01,-1.07527
1968-04-01,12.71676
1968-05-01,9.21986
1968-06-01,7.71429
1968-07-01,-8.02139
1968-08-01,-9.65608
1968-09-01,-3.07692
1968-10-01,-8.3871
1968-11-01,-9.49936
1968-12-01,2.77008
1969-01-01,-5.38674
1969-02-01,-15.27415
1969-03-01,-6.38587
1969-04-01,-16.02564
1969-05-01,-9.87013
1969-06-01,1.98939
1969-07-01,20.49419
1969-08-01,19.61933
1969-09-01,19.48052
1969-10-01,14.78873
1969-11-01,18.7234
1969-12-01,15.76819
1970-01-01,25.9854
1970-02-01,32.66564
1970-03-01,34.1074
1970-04-01,53.12977
1970-05-01,34.29395
1970-06-01,20.54616
1970-07-01,25.45235
1970-08-01,27.17258
1970-09-01,21.13527
1970-10-01,25.52147
1970-11-01,26.40382
1970-12-01,20.72177
1971-01-01,23.75435
1971-02-01,24.04181
1971-03-01,18.39827
1971-04-01,6.97906
1971-05-01,19.63519
1971-06-01,33.54908
1971-07-01,10.57692
1971-08-01,9.81713
1971-09-01,11.76471
1971-10-01,10.55718
1971-11-01,5.38752
1971-12-01,7.61813
1972-01-01,0.74906
1972-02-01,4.30712
1972-03-01,-5.75868
1972-04-01,-6.33737
1972-05-01,-7.44395
1972-06-01,-16.31664
1972-07-01,-8.86957
1972-08-01,-4.20684
1972-09-01,-0.08921
1972-10-01,7.86914
1972-11-01,16.32287
1972-12-01,17.56272
1973-01-01,10.40892
1973-02-01,9.06643
1973-03-01,21.04753
1973-04-01,29.65174
1973-05-01,26.84109
1973-06-01,32.04633
1973-07-01,26.81298
1973-08-01,29.82617
1973-09-01,20.625
1973-10-01,22.70492
1973-11-01,16.49961
1973-12-01,18.90244
1974-01-01,27.6936
1974-02-01,24.11523
1974-03-01,15.0641
1974-04-01,8.05833
1974-05-01,5.80596
1974-06-01,2.04678
1974-07-01,6.62152
1974-08-01,-5.14447
1974-09-01,6.95781
1974-10-01,1.60321
1974-11-01,4.03706
1974-12-01,2.75641
1975-01-01,0.39552
1975-02-01,-3.77984
1975-03-01,3.48189
1975-04-01,20.45455
1975-05-01,58.33935
1975-06-01,26.36103
1975-07-01,8.9626
1975-08-01,19.2422
1975-09-01,11.90311
1975-10-01,10.45365
1975-11-01,1.9084
1975-12-01,-5.05303
1976-01-01,-1.11622
1976-02-01,10.13094
1976-03-01,6.66218
1976-04-01,-10.08255
1976-05-01,-26.40219
1976-06-01,-14.68254
1976-07-01,0.71244
1976-08-01,-2.18069
1976-09-01,-4.88559
1976-10-01,-10.47619
1976-11-01,-2.43446
1976-12-01,-3.81078
1977-01-01,-1.99203
1977-02-01,-19.02378
1977-03-01,-6.24606
1977-04-01,-1.83607
1977-05-01,-8.85998
1977-06-01,2.52492
1977-07-01,-0.90032
1977-08-01,2.80255
1977-09-01,7.80234
1977-10-01,10.6383
1977-11-01,9.59693
1977-12-01,20.01366
1978-01-01,24.66125
1978-02-01,34.69861
1978-03-01,17.49664
1978-04-01,15.36406
1978-05-01,13.52821
1978-06-01,5.83279
1978-07-01,16.02855
1978-08-01,7.4969
1978-09-01,6.81544
1978-10-01,8.41346
1978-11-01,3.561
1978-12-01,1.1383
1979-01-01,4.83696
1979-02-01,11.01549
1979-03-01,13.51661
1979-04-01,12.56514
1979-05-01,10.05988
1979-06-01,8.14452
1979-07-01,7.55034
1979-08-01,3.22767
1979-09-01,-1.24224
1979-10-01,0.38803
1979-11-01,3.04397
1979-12-01,8.27237
1980-01-01,-0.46656
1980-02-01,2.06718
1980-03-01,1.76589
1980-04-01,14.96914
1980-05-01,23.34059
1980-06-01,27.23669
1980-07-01,19.55278
1980-08-01,29.53657
1980-09-01,38.59348
1980-10-01,30.86692
1980-11-01,34.95624
1980-12-01,27.18295
1981-01-01,22.39583
1981-02-01,19.03797
1981-03-01,17.40208
1981-04-01,6.30872
1981-05-01,6.44023
1981-06-01,7.0316
1981-07-01,21.92258
1981-08-01,18.83621
1981-09-01,17.82178
1981-10-01,26.28692
1981-11-01,23.75355
1981-12-01,18.55333
1982-01-01,26.42553
1982-02-01,21.48022
1982-03-01,21.41047
1982-04-01,29.96633
1982-05-01,21.84003
1982-06-01,22.20374
1982-07-01,8.99037
1982-08-01,11.86072
1982-09-01,1.2605
1982-10-01,-6.94955
1982-11-01,-11.03832
1982-12-01,-5.4464
1983-01-01,-5.14978
1983-02-01,-0.80532
1983-03-01,-5.28696
1983-04-01,-14.2487
1983-05-01,-12.58503
1983-06-01,-19.08813
1983-07-01,-16.33388
1983-08-01,-20.59014
1983-09-01,-10.78838
1983-10-01,-5.70916
1983-11-01,3.1296
1983-12-01,1.31243
1984-01-01,-2.02271
1984-02-01,15.14296
1984-03-01,19.31693
1984-04-01,23.79154
1984-05-01,23.57977
1984-06-01,34.39865
1984-07-01,30.43818
1984-08-01,40.42466
1984-09-01,34.4186
1984-10-01,31.34044
1984-11-01,14.45912
1984-12-01,20.11515
1985-01-01,11.55378
1985-02-01,-17.35132
1985-03-01,-20.40628
1985-04-01,-7.96217
1985-05-01,9.25693
1985-06-01,-7.50939
1985-07-01,-15.20696
1985-08-01,-26.31579
1985-09-01,-33.99654
1985-10-01,-16.49754
1985-11-01,-10.72988
1985-12-01,-17.49551
1986-01-01,-9.25325
1986-02-01,12.27745
1986-03-01,25.56071
1986-04-01,5.40272
1986-05-01,-12.33429
1986-06-01,4.49932
1986-07-01,8.27733
1986-08-01,17.04815
1986-09-01,2.97073
1986-10-01,-4.30556
1986-11-01,0.06988
1986-12-01,-17.86492
1987-01-01,12.77281
1987-02-01,-8.42418
1987-03-01,-14.4749
1987-04-01,-57.83019
1987-05-01,-12.36029
1987-06-01,-19.03529
1987-07-01,-20.22215
1987-08-01,-20.26298
1987-09-01,7.25499
1987-10-01,1.37881
1987-11-01,1.78073
1987-12-01,33.42175
1988-01-01,-9.48604
1988-02-01,10.35354
1988-03-01,6.40979
1988-04-01,141.61074
1988-05-01,16.20405
